LOC,CyclomaticComplexity,Methods,Classes,CBO,LCOM,DIT,RFC,NOC,WMC,CommentRatio,MaintainabilityIndex,Quality
248,2,48,9,7,28,3,193,1,87,0.37,83,Good
198,38,28,2,0,11,4,64,8,78,0.01,45,Poor
1136,27,15,15,18,35,1,199,2,90,0.21,34,Poor
338,14,49,11,3,11,7,29,5,45,0.3,79,Good
960,35,8,13,2,70,5,165,9,47,0.29,46,Poor
113,43,15,10,2,29,2,102,4,59,0.32,52,Average
353,24,23,7,8,89,2,160,10,22,0.27,50,Average
354,30,25,9,20,88,4,180,5,99,0.39,20,Poor
85,21,26,9,2,27,6,59,10,64,0.2,72,Average
959,10,17,5,7,95,5,196,9,55,0.45,66,Average
761,15,9,17,15,11,1,33,2,81,0.08,57,Average
884,39,5,13,12,76,8,140,4,71,0.43,29,Poor
254,44,57,18,8,98,6,33,4,56,0.08,13,Poor
559,33,49,6,16,13,5,168,8,78,0.1,36,Poor
350,35,50,17,0,76,6,130,0,15,0.46,63,Average
510,4,16,19,2,10,8,22,8,99,0.06,79,Good
993,36,11,9,16,77,7,59,8,97,0.36,22,Poor
658,26,43,12,14,66,8,35,3,29,0.03,33,Poor
1154,15,38,8,0,9,1,63,1,5,0.43,96,Good
1072,16,18,16,6,69,3,190,9,74,0.24,57,Average
853,13,7,4,13,45,7,110,7,94,0.03,48,Poor
221,4,26,11,3,31,4,53,8,58,0.07,73,Average
590,30,16,3,14,70,2,17,10,70,0.42,37,Poor
504,11,27,16,15,27,7,20,2,49,0.0,56,Average
563,30,19,14,17,84,8,44,3,38,0.11,23,Poor
1130,4,48,11,1,6,8,133,8,21,0.03,93,Good
184,12,5,20,2,86,4,108,1,73,0.12,59,Average
101,40,6,14,18,72,6,71,3,86,0.36,19,Poor
563,26,9,10,14,40,2,7,7,80,0.5,49,Poor
170,35,14,17,8,16,6,22,3,48,0.14,52,Average
1132,46,20,20,20,67,1,175,8,39,0.47,24,Poor
295,17,8,4,17,19,5,77,9,27,0.36,66,Average
560,33,32,9,1,11,7,75,0,1,0.17,69,Average
556,11,48,15,17,90,7,148,0,15,0.04,42,Poor
1137,3,54,12,18,70,3,115,2,6,0.15,58,Average
752,14,44,8,3,45,7,163,2,31,0.43,80,Good
864,2,12,11,13,85,4,73,2,90,0.05,40,Poor
983,15,13,15,11,39,4,62,0,85,0.1,50,Average
590,5,50,9,11,82,7,178,8,43,0.47,68,Average
554,12,38,9,1,13,7,93,5,56,0.3,88,Good
256,25,58,19,6,32,1,186,6,1,0.26,75,Good
423,24,28,3,10,79,6,174,1,93,0.45,49,Poor
653,43,27,11,12,89,5,146,2,25,0.21,29,Poor
376,40,37,10,12,70,1,82,4,27,0.21,39,Poor
679,30,29,15,6,65,8,193,2,85,0.04,37,Poor
706,6,53,8,9,28,4,42,0,6,0.12,82,Good
169,30,27,19,6,91,7,131,6,32,0.07,34,Poor
238,50,28,8,5,89,8,17,8,32,0.46,34,Poor
954,9,52,15,16,71,6,198,7,79,0.41,58,Average
893,36,29,6,15,57,5,197,3,82,0.14,27,Poor
1012,41,16,9,14,9,5,65,4,43,0.16,44,Poor
185,9,10,8,12,88,3,185,3,9,0.21,62,Average
1131,30,27,2,6,53,7,154,0,98,0.29,46,Poor
32,23,20,13,13,68,4,129,3,35,0.22,43,Poor
816,22,43,13,5,59,3,164,8,4,0.45,80,Good
1175,43,2,3,20,54,3,123,2,7,0.13,27,Poor
453,30,21,11,12,35,7,69,1,61,0.01,41,Poor
126,23,15,3,20,5,1,68,3,3,0.31,63,Average
278,31,43,4,18,27,8,184,4,99,0.18,35,Poor
254,50,53,6,9,13,1,84,9,87,0.45,42,Poor
832,46,13,3,18,88,4,31,4,88,0.3,5,Poor
1179,3,23,18,13,84,6,22,8,83,0.17,51,Average
1023,7,28,12,20,58,3,116,2,94,0.26,51,Average
573,40,52,18,15,59,7,192,9,35,0.16,28,Poor
197,18,57,15,7,96,8,150,9,86,0.19,36,Poor
1032,21,12,16,6,45,5,92,4,77,0.35,60,Average
1158,1,34,7,2,30,7,130,8,98,0.12,76,Good
1025,29,51,1,2,37,4,108,3,40,0.33,67,Average
989,36,34,12,13,95,6,95,7,35,0.15,25,Poor
267,47,13,11,3,95,3,54,3,95,0.24,24,Poor
1094,39,19,4,6,37,4,97,2,39,0.01,44,Poor
279,18,3,2,17,37,3,168,7,14,0.44,72,Average
602,31,31,15,10,23,1,69,7,15,0.41,68,Average
1027,5,37,2,4,19,5,26,3,16,0.28,94,Good
482,50,34,13,14,56,5,155,6,40,0.28,22,Poor
223,49,14,7,8,84,2,45,3,23,0.28,28,Poor
25,27,29,20,15,37,1,64,4,91,0.14,37,Poor
165,44,15,9,20,75,4,113,1,70,0.11,5,Poor
564,10,5,2,5,39,5,117,1,60,0.34,77,Good
577,33,35,16,14,10,1,115,5,78,0.13,36,Poor
488,44,54,19,18,2,5,152,0,98,0.38,35,Poor
1082,42,29,9,5,74,7,167,7,12,0.24,45,Poor
702,21,43,4,5,42,7,182,7,37,0.33,71,Average
1146,3,30,3,10,32,6,34,6,66,0.41,75,Good
1131,30,27,2,6,66,6,164,7,81,0.22,36,Poor
436,18,36,5,9,56,8,36,0,81,0.3,52,Average
344,20,36,1,17,52,2,62,1,60,0.47,60,Average
335,32,60,10,16,90,5,111,7,61,0.12,25,Poor
316,25,13,20,16,95,3,22,4,99,0.4,31,Poor
716,33,18,1,9,92,5,155,9,85,0.24,26,Poor
934,35,31,12,10,70,7,121,5,25,0.49,51,Average
1191,25,15,14,1,40,8,185,6,50,0.49,80,Good
331,32,3,5,16,75,6,30,7,13,0.26,43,Poor
51,47,10,14,20,19,2,125,4,44,0.31,33,Poor
184,22,55,18,12,40,8,143,0,80,0.03,46,Poor
608,15,48,3,13,12,2,118,2,89,0.15,51,Average
114,21,51,2,9,45,6,115,2,32,0.27,67,Average
388,11,12,3,19,48,4,132,9,19,0.12,61,Average
540,30,17,1,14,36,3,23,7,45,0.49,56,Average
888,45,17,15,9,25,7,128,1,31,0.19,43,Poor
1197,19,45,10,0,84,7,75,0,73,0.43,59,Average
1037,19,50,8,19,45,4,167,3,80,0.13,43,Poor
300,41,7,2,9,100,8,13,9,47,0.37,28,Poor
624,21,48,14,5,25,3,143,5,68,0.25,64,Average
356,17,59,16,9,95,6,34,7,10,0.07,48,Poor
833,36,24,3,12,1,5,142,1,59,0.18,53,Average
556,38,25,12,3,86,4,125,0,80,0.44,45,Poor
691,40,15,3,20,59,5,171,6,15,0.07,20,Poor
643,32,8,4,7,68,3,104,7,48,0.34,52,Average
878,38,48,5,13,83,2,130,9,53,0.47,36,Poor
87,45,24,7,14,56,4,97,1,88,0.18,23,Poor
754,4,26,9,6,15,8,28,10,28,0.32,96,Good
63,4,51,11,7,16,4,22,8,27,0.29,88,Good
692,50,10,20,0,35,3,38,8,33,0.4,51,Average
72,9,1,12,7,75,6,9,2,34,0.03,60,Average
1097,8,48,3,15,57,6,136,9,14,0.23,64,Average
108,47,51,17,9,58,1,20,7,52,0.21,26,Poor
1024,46,59,15,2,10,6,160,2,9,0.06,58,Average
